,댓글
128,"상민오빠, 건강은 최고죠. 건강 잘 챙기시고"
129,😍
130,💪🏻건강
131,🌞
132,❤️❤️❤️
133,🎉🎉🎉🎉우정에서 사랑😍😍😍
134,👍👍
135,오빠두 화이팅!!! 식사 거르지마시구 옷 따숩게 입으시구요! 많이 많이 웃는 하루 보내시길 바라요💕
136,화이팅하세용ㅜㅜ!! 마스크 꼭꼭😷
137,Fighting
138,코로나조심하세요. 상민씨
139,코로나 메로나 😮
140,Fighting!!
141,정보 감사해요~~행복한 하루 되세요^^
142,코로나 조심하시구 화이팅^^하세요~
143,Sangmin fighting!!! eyes contact with love.have a good day^^
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
165,
166,
167,
168,
169,
170,
171,
172,😍
173,오빠 이제 좀 쉬시죠? 😥 잠 안 오는 사람 넘 많아서요 ㅋㅋㅋ 계속 하시면 같이 밤 새볼까요 😂
174,형님^^샴푸다똑같습니다~~!!힘내세요~~!
175,연예인들은 평생 절대적 약자이자 을입니다. 대한민국의 연예인들의 악플러들의 대응도 이제는 바뀌어야합니다. 상민씨 그만 사과하세요.
176,"힘내세요 90년대부터, 지금도, 그리고 앞으로도 계속 응원하겠습니다"
177,본인은 아무책임이 없다고 생각하시는건 아니죠?
178,@93j_park
179,"모델을 했단이유로 잘못이 있다하면 안되는거죠~ 모델은 모델일뿐 단지 운이 안좋았을뿐이고, 그 회사 잘못이죠 엄연히... 하나하나 책임지라고 한다면 모델할사람 없을듯요"
180,😄🎶❤️
181,I love you ❤️❤️
182,힘내세요!!!!🙏
183,샴푸회사에서 잘못한일이고 대처도 그회사가 해야할일🙄ㅋ
184,👏
185,모든물건이 과장광고지 약도아니고 인스타 호갱이그냥있나요 그냥 그려려니하면되지 잘나가니 배아파서 누가그랬나보다 이렇게밖에생각안드네요 !열심히사는사람들 앞길안막는 나라사람들되면좋을텐데ㅡ힘내세요 !!홧팅
186,힘내세요 !
187,힘내세요!! 항상응원하고 사랑합니다❤️악플에 너무 신경안쓰셨으면 좋겠어요 😭힘내세요!!!!!!!!
188,저희 신랑두 어헤즈샴푸 사용한지 2년돼가는데 4통씩 사서 쟁겨노며 만족하며 쓰구있는데 환불받기두구찬구 걍쓸래요
189,상민님이 삼푸파신게 뭐잘못됬나요? 남극크릴오일처럼발암 물질석인것32개회사것처럼? 전이해가안되네요.??
190,"형 여기 사과문이 약간아쉽네요! 목적어빠졌어요

무엇을 잘명기해주시지.."
191,팬으로써 이상민님이 그냥 아무일없이 잘 살았으면 좋겠어여~늘 티비보면서 저사람은 잘됐으면 좋겟다 해여~비판이있으면 비판받으시고 앞으로 성실한 행동으로 지내시면 된다고 생각합니다.
192,무슨일인지모르지만 화이팅
193,힘내시고 너무맘담지마세요♡♡상상꽃길만걸어가시길~~모든채널에서잘보고있읍니다~~^^^응원합니다 항상^^^^
194,진짜안좋은샴푸를 광고한거라면 모델도포함해 문제를 제기할수있지만 어찌보면 모델도 과대광고를 한 회사로 인해 이미지타격과 어찌보면 피해자인데...
195,We support you!!!! 💖💖
196,"네!상민씨,신경쓰지 마세요,원래 남 잘되는 꼴 배 아파하는 사람들 많잖아요!그만큼 상민씨가 잘 돼고 있으시다는 거죠~^^건강 잘 챙기시고 화이팅 하세요 ~"
197,형 저야 크게 상관없었고 이번 올리신 사과로 이해가 되었는데 괜찮으시겠어요? 아직도 유튜브 댓글도 그렇고 그렇게 여론이 좋지는 못하더라구요. 저 사과도 얼굴이 안나왔다. 이게 사과 한거냐 이게 그겁니다에 대해서는 재대로 나와 있지도 않다.(어헤즈 사과문보고 저는 이해했는데 안본사람들이 있나봅니다) 등 아직도 좋지는 않아서 앞으로 유튜브 운영이 괜찮으실지 해서요
198,Oh my god. I checked NAVER comments two night ago and saw Netizens post harassment comment about sangmin oppa ㅠ ㅠ 💔 oppa I love you. Please don't read bad comments. I support Lee Legend Sangmin 💕💕💖💕💖💕💖❤❤❤ fighting. 사랑 해 요
199,요즘 누가 모델 광고 하는것만 보고 물건사요...! 그렇다면 그사람이 잘못산거지 gs홈 런칭도 했었던것 같은데...?! 이부분이 더 큰거 아닌가
200,지니어스같은 대처 기대합니다🔥
201,sleep early✨🌻🙆🙆🌹
202,헉.....
203,💪🏻🙏🏻💓
204,힘내세요 잘 이겨내실거에요!👍
205,I love you ❤️
206,힘내세요...화이팅!!!
207,상상이아니고 항상이요
208,응원 합니다
209,💓💓💓💓
210,이상민 화이팅!!
211,回完評論好好睡覺🌙辛苦惹
212,I believe you and support you 😊 화이팅💪🏼
213,힘내세요ㅠㅠ
214,저 기억은 하실런지 모르겠네요ㅡㅡㅋ
